"STATISTIC","Statistic Label","C02173V04143","Detailed Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20101","2010Q1","Thousand","1084.8"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20102","2010Q2","Thousand","1541.4"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20103","2010Q3","Thousand","1996.6"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20104","2010Q4","Thousand","1414.3"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20111","2011Q1","Thousand","1178.8"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20112","2011Q2","Thousand","1805"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20113","2011Q3","Thousand","2151.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20114","2011Q4","Thousand","1369.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20121","2012Q1","Thousand","1165.1"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20122","2012Q2","Thousand","1817.3"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20123","2012Q3","Thousand","2096.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20124","2012Q4","Thousand","1438"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20131","2013Q1","Thousand","1251.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20132","2013Q2","Thousand","1893"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20133","2013Q3","Thousand","2261"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20134","2013Q4","Thousand","1580.1"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20141","2014Q1","Thousand","1342.5"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20142","2014Q2","Thousand","2126.6"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20143","2014Q3","Thousand","2440.4"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20144","2014Q4","Thousand","1694.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20151","2015Q1","Thousand","1531.3"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20152","2015Q2","Thousand","2344.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20153","2015Q3","Thousand","2770.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20154","2015Q4","Thousand","1995.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20161","2016Q1","Thousand","1784.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20162","2016Q2","Thousand","2598.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20163","2016Q3","Thousand","3061.5"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20164","2016Q4","Thousand","2139.2"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20171","2017Q1","Thousand","1796.1"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20172","2017Q2","Thousand","2769.4"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20173","2017Q3","Thousand","3095.6"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20174","2017Q4","Thousand","2270.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20181","2018Q1","Thousand","1920.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20182","2018Q2","Thousand","2951.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20183","2018Q3","Thousand","3330.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20184","2018Q4","Thousand","2412.8"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20191","2019Q1","Thousand","2026.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20192","2019Q2","Thousand","3021.8"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20193","2019Q3","Thousand","3334.4"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20194","2019Q4","Thousand","2424.6"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20101","2010Q1","Thousand","58.4"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20102","2010Q2","Thousand","104.9"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20103","2010Q3","Thousand","135.5"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20104","2010Q4","Thousand","78.5"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20111","2011Q1","Thousand","66.3"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20112","2011Q2","Thousand","123.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20113","2011Q3","Thousand","143"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20114","2011Q4","Thousand","90.6"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20121","2012Q1","Thousand","65.9"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20122","2012Q2","Thousand","134.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20123","2012Q3","Thousand","155.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20124","2012Q4","Thousand","93.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20131","2013Q1","Thousand","72.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20132","2013Q2","Thousand","141"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20133","2013Q3","Thousand","165.7"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20134","2013Q4","Thousand","103.4"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20141","2014Q1","Thousand","82.6"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20142","2014Q2","Thousand","170.6"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20143","2014Q3","Thousand","188.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20144","2014Q4","Thousand","115.2"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20151","2015Q1","Thousand","86.3"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20152","2015Q2","Thousand","196.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20153","2015Q3","Thousand","213.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20154","2015Q4","Thousand","133.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20161","2016Q1","Thousand","104.2"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20162","2016Q2","Thousand","192.3"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20163","2016Q3","Thousand","223"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20164","2016Q4","Thousand","132.7"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20171","2017Q1","Thousand","99.4"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20172","2017Q2","Thousand","209.7"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20173","2017Q3","Thousand","224.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20174","2017Q4","Thousand","147.5"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20181","2018Q1","Thousand","129.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20182","2018Q2","Thousand","244.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20183","2018Q3","Thousand","270.9"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20184","2018Q4","Thousand","172.4"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20191","2019Q1","Thousand","132.7"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20192","2019Q2","Thousand","246.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20193","2019Q3","Thousand","264"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20194","2019Q4","Thousand","169.6"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20101","2010Q1","Thousand","35.6"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20102","2010Q2","Thousand","52.9"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20103","2010Q3","Thousand","80"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20104","2010Q4","Thousand","52.8"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20111","2011Q1","Thousand","46.4"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20112","2011Q2","Thousand","59.6"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20113","2011Q3","Thousand","88.4"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20114","2011Q4","Thousand","50.4"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20121","2012Q1","Thousand","43.1"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20122","2012Q2","Thousand","63.3"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20123","2012Q3","Thousand","91.1"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20124","2012Q4","Thousand","55.5"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20131","2013Q1","Thousand","42.5"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20132","2013Q2","Thousand","65.7"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20133","2013Q3","Thousand","97.6"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20134","2013Q4","Thousand","57.2"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20141","2014Q1","Thousand","49.1"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20142","2014Q2","Thousand","83.2"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20143","2014Q3","Thousand","100.1"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20144","2014Q4","Thousand","58.5"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20151","2015Q1","Thousand","62.9"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20152","2015Q2","Thousand","89.4"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20153","2015Q3","Thousand","122"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20154","2015Q4","Thousand","68.9"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20161","2016Q1","Thousand","71.3"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20162","2016Q2","Thousand","100.1"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20163","2016Q3","Thousand","136.9"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20164","2016Q4","Thousand","86.7"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20171","2017Q1","Thousand","74.5"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20172","2017Q2","Thousand","134.7"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20173","2017Q3","Thousand","146.7"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20174","2017Q4","Thousand","87.3"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20181","2018Q1","Thousand","78.4"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20182","2018Q2","Thousand","127"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20183","2018Q3","Thousand","148.5"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20184","2018Q4","Thousand","89.2"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20191","2019Q1","Thousand","87.1"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20192","2019Q2","Thousand","120"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20193","2019Q3","Thousand","136.8"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20194","2019Q4","Thousand","99.3"
"TMQ12","Overseas Trips to Ireland","FR","France","20101","2010Q1","Thousand","54"
"TMQ12","Overseas Trips to Ireland","FR","France","20102","2010Q2","Thousand","92.8"
"TMQ12","Overseas Trips to Ireland","FR","France","20103","2010Q3","Thousand","119.9"
"TMQ12","Overseas Trips to Ireland","FR","France","20104","2010Q4","Thousand","75.7"
"TMQ12","Overseas Trips to Ireland","FR","France","20111","2011Q1","Thousand","68.7"
"TMQ12","Overseas Trips to Ireland","FR","France","20112","2011Q2","Thousand","126.5"
"TMQ12","Overseas Trips to Ireland","FR","France","20113","2011Q3","Thousand","136.7"
"TMQ12","Overseas Trips to Ireland","FR","France","20114","2011Q4","Thousand","69.6"
"TMQ12","Overseas Trips to Ireland","FR","France","20121","2012Q1","Thousand","66.6"
"TMQ12","Overseas Trips to Ireland","FR","France","20122","2012Q2","Thousand","129"
"TMQ12","Overseas Trips to Ireland","FR","France","20123","2012Q3","Thousand","129.4"
"TMQ12","Overseas Trips to Ireland","FR","France","20124","2012Q4","Thousand","71.3"
"TMQ12","Overseas Trips to Ireland","FR","France","20131","2013Q1","Thousand","84.3"
"TMQ12","Overseas Trips to Ireland","FR","France","20132","2013Q2","Thousand","144.5"
"TMQ12","Overseas Trips to Ireland","FR","France","20133","2013Q3","Thousand","129.5"
"TMQ12","Overseas Trips to Ireland","FR","France","20134","2013Q4","Thousand","75.4"
"TMQ12","Overseas Trips to Ireland","FR","France","20141","2014Q1","Thousand","69.4"
"TMQ12","Overseas Trips to Ireland","FR","France","20142","2014Q2","Thousand","149"
"TMQ12","Overseas Trips to Ireland","FR","France","20143","2014Q3","Thousand","149.8"
"TMQ12","Overseas Trips to Ireland","FR","France","20144","2014Q4","Thousand","87.6"
"TMQ12","Overseas Trips to Ireland","FR","France","20151","2015Q1","Thousand","87.5"
"TMQ12","Overseas Trips to Ireland","FR","France","20152","2015Q2","Thousand","159.6"
"TMQ12","Overseas Trips to Ireland","FR","France","20153","2015Q3","Thousand","156.3"
"TMQ12","Overseas Trips to Ireland","FR","France","20154","2015Q4","Thousand","101.2"
"TMQ12","Overseas Trips to Ireland","FR","France","20161","2016Q1","Thousand","97.5"
"TMQ12","Overseas Trips to Ireland","FR","France","20162","2016Q2","Thousand","164.7"
"TMQ12","Overseas Trips to Ireland","FR","France","20163","2016Q3","Thousand","171.1"
"TMQ12","Overseas Trips to Ireland","FR","France","20164","2016Q4","Thousand","98.1"
"TMQ12","Overseas Trips to Ireland","FR","France","20171","2017Q1","Thousand","107.1"
"TMQ12","Overseas Trips to Ireland","FR","France","20172","2017Q2","Thousand","169.2"
"TMQ12","Overseas Trips to Ireland","FR","France","20173","2017Q3","Thousand","163.7"
"TMQ12","Overseas Trips to Ireland","FR","France","20174","2017Q4","Thousand","109.3"
"TMQ12","Overseas Trips to Ireland","FR","France","20181","2018Q1","Thousand","97.5"
"TMQ12","Overseas Trips to Ireland","FR","France","20182","2018Q2","Thousand","177.9"
"TMQ12","Overseas Trips to Ireland","FR","France","20183","2018Q3","Thousand","175.1"
"TMQ12","Overseas Trips to Ireland","FR","France","20184","2018Q4","Thousand","114.4"
"TMQ12","Overseas Trips to Ireland","FR","France","20191","2019Q1","Thousand","117.3"
"TMQ12","Overseas Trips to Ireland","FR","France","20192","2019Q2","Thousand","173"
"TMQ12","Overseas Trips to Ireland","FR","France","20193","2019Q3","Thousand","171.7"
"TMQ12","Overseas Trips to Ireland","FR","France","20194","2019Q4","Thousand","114.7"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20101","2010Q1","Thousand","43.4"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20102","2010Q2","Thousand","39.6"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20103","2010Q3","Thousand","90.7"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20104","2010Q4","Thousand","48.1"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20111","2011Q1","Thousand","38"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20112","2011Q2","Thousand","55.7"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20113","2011Q3","Thousand","83.8"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20114","2011Q4","Thousand","42.7"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20121","2012Q1","Thousand","39.7"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20122","2012Q2","Thousand","67.8"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20123","2012Q3","Thousand","94.3"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20124","2012Q4","Thousand","49.8"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20131","2013Q1","Thousand","38.8"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20132","2013Q2","Thousand","63.2"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20133","2013Q3","Thousand","83.3"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20134","2013Q4","Thousand","48.7"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20141","2014Q1","Thousand","43.9"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20142","2014Q2","Thousand","62.2"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20143","2014Q3","Thousand","97.6"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20144","2014Q4","Thousand","54.1"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20151","2015Q1","Thousand","59.8"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20152","2015Q2","Thousand","80.7"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20153","2015Q3","Thousand","115.9"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20154","2015Q4","Thousand","65.1"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20161","2016Q1","Thousand","61.6"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20162","2016Q2","Thousand","96"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20163","2016Q3","Thousand","129.3"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20164","2016Q4","Thousand","57.6"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20171","2017Q1","Thousand","60.1"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20172","2017Q2","Thousand","97.4"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20173","2017Q3","Thousand","130.1"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20174","2017Q4","Thousand","75.7"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20181","2018Q1","Thousand","71.2"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20182","2018Q2","Thousand","108.4"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20183","2018Q3","Thousand","142.1"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20184","2018Q4","Thousand","87.4"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20191","2019Q1","Thousand","66.9"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20192","2019Q2","Thousand","98.1"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20193","2019Q3","Thousand","148.4"
"TMQ12","Overseas Trips to Ireland","IT","Italy","20194","2019Q4","Thousand","78.9"
"TMQ12","Overseas Trips to Ireland","USCA","USA and Canada","20101","2010Q1","Thousand","137.3"
"TMQ12","Overseas Trips to Ireland","USCA","USA and Canada","20102","2010Q2","Thousand","264"
"TMQ12","Overseas Trips to Ireland","USCA","USA and Canada","20103","2010Q3","Thousand","332.8"
"TMQ12","Overseas Trips to Ireland","USCA","USA and Canada","20104","2010Q4","Thousand","201.4"
"TMQ12","Overseas Trips to Ireland","USCA","USA and Canada","20111","2011Q1","Thousand","154.7"
"TMQ12","Overseas Trips to Ireland","USCA","USA and Canada","20112","2011Q2","Thousand","303.8"
"TMQ12","Overseas Trips to Ireland","USCA","USA and Canada","20113","2011Q3","Thousand","352.4"
"TMQ12","Overseas Trips to Ireland","USCA","USA and Canada","20114","2011Q4","Thousand","176.2"
